IdSklep;Sklep;Data;WartoscsprzedazyBrutto;IloscdDkumentowSprzedazy;SredniaWartoscKoszyka;IloscIndeksow
2;002 - Sklep Chicago;2016-10-21;1480.35;42;35.25;97
2;002 - Sklep Chicago;2016-10-22;935.1;23;40.66;71
2;002 - Sklep Chicago;2016-10-24;699.92;35;20;63
2;002 - Sklep Chicago;2016-10-25;1155.63;32;36.11;94
2;002 - Sklep Chicago;2016-10-26;1287.3;40;32.18;93
2;002 - Sklep Chicago;2016-10-27;1036.74;34;30.49;57
2;002 - Sklep Chicago;2016-10-28;1331.8;29;45.92;89
2;002 - Sklep Chicago;2016-10-29;740.74;26;28.49;52
2;002 - Sklep Chicago;2016-10-31;1419.79;43;33.02;104
2;002 - Sklep Chicago;2016-11-02;1009.96;30;33.67;68
2;002 - Sklep Chicago;2016-11-03;1688.17;48;35.17;105
2;002 - Sklep Chicago;2016-11-04;2397.16;62;38.66;143
2;002 - Sklep Chicago;2016-11-05;967.69;22;43.99;53
2;002 - Sklep Chicago;2016-11-07;2024.22;48;42.17;104
2;002 - Sklep Chicago;2016-11-08;2173.1;54;40.24;108
2;002 - Sklep Chicago;2016-11-09;1936.88;43;45.04;117
2;002 - Sklep Chicago;2016-11-10;1831.39;40;45.78;115
2;002 - Sklep Chicago;2016-11-12;1014.52;37;27.42;76
2;002 - Sklep Chicago;2016-11-14;1521.9;37;41.13;146
2;002 - Sklep Chicago;2016-11-15;1643.05;53;31;113
2;002 - Sklep Chicago;2016-11-16;1500.17;47;31.92;98
2;002 - Sklep Chicago;2016-11-17;2658.12;56;47.47;120
2;002 - Sklep Chicago;2016-11-18;3286.55;57;57.66;142
2;002 - Sklep Chicago;2016-11-19;1450.92;25;58.04;89
2;002 - Sklep Chicago;2016-11-21;1710.65;58;29.49;129
2;002 - Sklep Chicago;2016-11-22;1889.02;52;36.33;132
2;002 - Sklep Chicago;2016-11-23;2413.43;55;43.88;160
2;002 - Sklep Chicago;2016-11-24;3611.97;61;59.21;194
2;002 - Sklep Chicago;2016-11-25;2122.14;66;32.15;161
2;002 - Sklep Chicago;2016-11-26;1087.05;36;30.2;67
2;002 - Sklep Chicago;2016-11-28;1494;44;33.95;103
2;002 - Sklep Chicago;2016-11-29;1480.82;40;37.02;123
2;002 - Sklep Chicago;2016-11-30;2753.12;55;50.06;147
2;002 - Sklep Chicago;2016-12-01;1611.45;40;40.29;84
2;002 - Sklep Chicago;2016-12-02;2159.73;49;44.08;149
2;002 - Sklep Chicago;2016-12-03;1718.82;45;38.2;113
2;002 - Sklep Chicago;2016-12-05;2069.26;75;27.59;217
2;002 - Sklep Chicago;2016-12-06;930.55;13;71.58;58
2;002 - Sklep Chicago;2016-12-07;1846.91;52;35.52;151
2;002 - Sklep Chicago;2016-12-08;1720.99;54;31.87;148
2;002 - Sklep Chicago;2016-12-09;2612.86;57;45.84;129
2;002 - Sklep Chicago;2016-12-10;1298.05;46;28.22;100
2;002 - Sklep Chicago;2016-12-12;2696.59;70;38.52;162
2;002 - Sklep Chicago;2016-12-13;2790.77;80;34.88;210
2;002 - Sklep Chicago;2016-12-14;2532.98;68;37.25;134
2;002 - Sklep Chicago;2016-12-15;3079.63;93;33.11;266
2;002 - Sklep Chicago;2016-12-16;4295.42;105;40.91;273
2;002 - Sklep Chicago;2016-12-17;2719.94;61;44.59;153
2;002 - Sklep Chicago;2016-12-18;2609.79;56;46.6;150
2;002 - Sklep Chicago;2016-12-19;4617;105;43.97;307
2;002 - Sklep Chicago;2016-12-20;5682.97;120;47.36;351
2;002 - Sklep Chicago;2016-12-21;4906.95;130;37.75;302
2;002 - Sklep Chicago;2016-12-22;5333.48;120;44.45;348
2;002 - Sklep Chicago;2016-12-23;5878.13;132;44.53;366
2;002 - Sklep Chicago;2016-12-24;2111.38;44;47.99;149
2;002 - Sklep Chicago;2016-12-27;1022.71;22;46.49;59
2;002 - Sklep Chicago;2016-12-28;2351.15;52;45.21;155
2;002 - Sklep Chicago;2016-12-29;1479.95;51;29.02;104
2;002 - Sklep Chicago;2016-12-30;2009.03;45;44.65;145
2;002 - Sklep Chicago;2016-12-31;365.02;15;24.33;34
3;003 - Sklep Los Angeles;2016-01-09;10985.16;406;27.06;966.6
3;003 - Sklep Los Angeles;2016-01-11;2861.96;95;30.13;221.2
3;003 - Sklep Los Angeles;2016-01-12;2380.552;75;31.74;174.8
3;003 - Sklep Los Angeles;2016-01-13;2123.02;71;29.9;199
3;003 - Sklep Los Angeles;2016-01-14;2851.96;79;36.1;214
3;003 - Sklep Los Angeles;2016-01-15;2981.28;105;28.39;289.5
3;003 - Sklep Los Angeles;2016-01-16;2253.572;64;35.21;172.8
3;003 - Sklep Los Angeles;2016-01-18;2158.84;77;28.04;283
3;003 - Sklep Los Angeles;2016-01-20;3917.5;162;24.18;387.7
3;003 - Sklep Los Angeles;2016-01-21;1300.18;57;22.81;127
3;003 - Sklep Los Angeles;2016-01-22;2005.65;76;26.39;183
3;003 - Sklep Los Angeles;2016-01-25;2195.64;117;18.77;260
3;003 - Sklep Los Angeles;2016-01-26;1402.2;69;20.32;144
3;003 - Sklep Los Angeles;2016-01-27;2464.28;64;38.5;155
3;003 - Sklep Los Angeles;2016-01-28;1371.65;62;22.12;123.8
3;003 - Sklep Los Angeles;2016-01-29;1974.692;71;27.81;144.8
3;003 - Sklep Los Angeles;2016-01-30;2171.5;65;33.41;203
3;003 - Sklep Los Angeles;2016-02-02;1752.93;61;28.74;184
3;003 - Sklep Los Angeles;2016-02-03;3745.47;129;29.03;280.4
3;003 - Sklep Los Angeles;2016-02-04;1274.89;62;20.56;133
3;003 - Sklep Los Angeles;2016-02-05;2500.46;74;33.79;175.7
3;003 - Sklep Los Angeles;2016-02-08;2702.18;113;23.91;236.65
3;003 - Sklep Los Angeles;2016-02-09;1856.14;72;25.78;169.7
3;003 - Sklep Los Angeles;2016-02-10;1609.84;70;23;170.5
3;003 - Sklep Los Angeles;2016-02-12;3626.04;127;28.55;369
3;003 - Sklep Los Angeles;2016-02-15;3664.57;127;28.85;325.5
3;003 - Sklep Los Angeles;2016-02-16;1872.11;77;24.31;184
3;003 - Sklep Los Angeles;2016-02-17;1952.982;65;30.05;153.8
3;003 - Sklep Los Angeles;2016-02-18;897.49;54;16.62;88.5
3;003 - Sklep Los Angeles;2016-02-19;1995.15;64;31.17;157.9
3;003 - Sklep Los Angeles;2016-03-02;21039.3;718;29.3;1687.05
3;003 - Sklep Los Angeles;2016-03-03;1683.79;60;28.06;161
3;003 - Sklep Los Angeles;2016-03-07;2665.87;128;20.83;267.9
3;003 - Sklep Los Angeles;2016-03-08;2171.89;84;25.86;190.5
3;003 - Sklep Los Angeles;2016-03-10;3782.83;135;28.02;350.95
3;003 - Sklep Los Angeles;2016-03-11;3343.484;113;29.59;290.6
3;003 - Sklep Los Angeles;2016-03-14;5656.84;160;35.36;391.7
3;003 - Sklep Los Angeles;2016-03-15;2499.71;97;25.77;241.9
3;003 - Sklep Los Angeles;2016-03-16;2290.72;67;34.19;155
3;003 - Sklep Los Angeles;2016-03-17;2947.8;91;32.39;217.2
3;003 - Sklep Los Angeles;2016-03-18;1930.25;72;26.81;146.8
3;003 - Sklep Los Angeles;2016-03-19;2742.44;84;32.65;207.6
3;003 - Sklep Los Angeles;2016-03-20;951.18;20;47.56;41
3;003 - Sklep Los Angeles;2016-03-22;4540.75;192;23.65;522.9
3;003 - Sklep Los Angeles;2016-03-23;3302.21;119;27.75;365.6
3;003 - Sklep Los Angeles;2016-03-24;5224.81;158;33.07;370.9
3;003 - Sklep Los Angeles;2016-03-25;3362.54;159;21.15;385.6
3;003 - Sklep Los Angeles;2016-03-26;2027.13;76;26.67;180
3;003 - Sklep Los Angeles;2016-03-29;1045.91;52;20.11;196
3;003 - Sklep Los Angeles;2016-03-30;2049.55;61;33.6;320
3;003 - Sklep Los Angeles;2016-03-31;1412.74;55;25.69;120
3;003 - Sklep Los Angeles;2016-04-01;1630.7;64;25.48;176
3;003 - Sklep Los Angeles;2016-04-02;1237.54;49;25.26;94.7
3;003 - Sklep Los Angeles;2016-04-04;1504.75;62;24.27;121
3;003 - Sklep Los Angeles;2016-04-06;4917.4;103;47.74;279
